p_theta	p_rho	p_pop_change_time	p_pop_change_newpop	s_segs	s_theta_pi	s_theta_w	s_tajimasD	s_ZnS	s_FayWuH	s_dvk	s_dvh	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	12	4.606061e+00	3.973671e+00	6.685526e-01	2.739747e-01	5.989180e-01	6.000000e+00	7.777778e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	6	2.227273e+00	1.986836e+00	4.615189e-01	2.824557e-01	1.785692e-01	5.000000e+00	7.222222e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	5	1.696970e+00	1.655696e+00	9.189227e-02	1.967677e-01	9.067122e-01	5.000000e+00	7.500000e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	10	2.727273e+00	3.311393e+00	-7.257065e-01	1.166529e-01	8.018434e-01	9.000000e+00	8.611111e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	4	1.409091e+00	1.324557e+00	2.244587e-01	3.376623e-01	3.980038e-01	4.000000e+00	6.388889e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	4	1.393939e+00	1.324557e+00	1.842276e-01	1.297015e-01	5.306718e-01	4.000000e+00	6.388889e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	5	1.924242e+00	1.655696e+00	5.978998e-01	3.410019e-01	2.266780e-02	4.000000e+00	6.388889e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	6	1.863636e+00	1.986836e+00	-2.364810e-01	1.822467e-01	6.547536e-01	5.000000e+00	7.222222e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	4	1.348485e+00	1.324557e+00	6.353423e-02	2.210744e-01	6.102726e-01	5.000000e+00	6.111111e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	4	1.181818e+00	1.324557e+00	-3.790081e-01	3.774105e-02	4.776046e-01	6.000000e+00	7.361111e-01	
